question,__expected1,__metadata:category,__metadata:difficulty
"Name the 7 most popular paper (not online or draft) MTG formats in alphabetical order (comma-separated list).","icontains: Commander Legacy Modern Pauper Pioneer Standard Vintage","formats","medium"
"What was the date of MTG's general release? (dd-mm-yyyy)","icontains: 05-08-1993","history","easy"
"What were the first 10 expansion sets in MTG history after Limited Edition Alpha, Limited Edition Beta, Unlimited Edition, Collectors Edition, and International Collectors Edition? List them in release order (comma-separated).","icontains: Arabian Nights Antiquities Revised Edition Legends Summer Magic / Edgar Dragon Con The Dark Fallen Empires Fourth Edition Ice Age","sets","hard"
"When was Ravnica, City of Guilds released? (dd-mm-yyyy)","icontains: 07-10-2005","sets","easy"
"What are the 10 guilds from Ravnica, City of Guilds in alphabetical order with their corresponding mana colors? Format each entry as 'Guild Name (Color1, Color2)' in a comma-separated list.","icontains: Azorius (White Blue) Boros (White Red) Dimir (Blue Black) Golgari (Black Green) Gruul (Red Green) Izzet (Blue Red) Orzhov (White Black) Rakdos (Black Red) Selesnya (White Green) Simic (Blue Green)","lore","hard"
"What are the 18 evergreen keyword actions (game mechanics, not ability keywords) in alphabetical order? (comma-separated list)","icontains: Activate Attach Cast Counter Create Destroy Discard Exchange Exile Fight Mill Play Reveal Sacrifice Scry Search Shuffle Tap/Untap","rules","hard"
"What are the 17 evergreen ability keywords (not game mechanics/keyword actions) in alphabetical order? (comma-separated list)","icontains: Deathtouch Defender Double strike Enchant Equip First strike Flash Flying Haste Hexproof Indestructible Lifelink Menace Reach Trample Vigilance Ward","rules","hard"
"During what month do Standard sets rotate, and after how long do cards rotate out of Standard? Format answer as 'Month, X years'.","icontains: September 3 years","formats","medium"
"When were the first Commander preconstructed decks released? (dd-mm-yyyy)","icontains: 17-06-2011","products","easy"
"What were the names of the 5 decks in the first Commander preconstructed product (Commander 2011)? List them alphabetically (comma-separated).","icontains: Counterpunch Devour for Power Heavenly Inferno Mirror Mastery Political Puppets","products","medium"
"What are all of the cards from Limited Edition Alpha/Beta that are on the Reserved List? List them alphabetically (comma-separated).","icontains: Ancestral Recall Badlands Bayou Black Lotus Blaze of Glory Braingeyser Chaos Orb Contract from Below Copy Artifact Cyclopean Tomb Darkpact Demonic Attorney Demonic Hordes Farmstead Fastbond Forcefield Fork Gauntlet of Might Granite Gargoyle Illusionary Mask Kudzu Lich Mox Emerald Mox Jet Mox Pearl Mox Ruby Mox Sapphire Natural Selection Plateau Raging River Roc of Kher Ridges Rock Hydra Savannah Scrubland Sedge Troll Taiga Time Vault Time Walk Timetwister Tropical Island Tundra Two-Headed Giant of Foriys Underground Sea Vesuvan Doppelganger Veteran Bodyguard Volcanic Island Wheel of Fortune Word of Command","reserved_list","hard"
"What was the first MTG set to feature planeswalker cards, and when was it released? (Format: 'Set Name, dd-mm-yyyy')","icontains: Lorwyn 12-10-2007","sets","medium"
"What were the 5 first planeswalker cards ever printed, listed alphabetically? (comma-separated list)","icontains: Ajani Goldmane Chandra Nalaar Garruk Wildspeaker Jace Beleren Liliana Vess","cards","medium"
"What are the 7 most common creature subtypes in Magic: The Gathering (each with over 600 cards), listed alphabetically? (comma-separated list)","icontains: Elemental Human Soldier Spirit Warrior Wizard Zombie","cards","medium"
